2025-07,Bukarest,O-Keadby,O,AH007735,Berlin,Berlin,Deutschland,Grossbritannien,54,T-0054-0001-C-W059909-00000001-N,AH037013/059909/0054,848010
2025-09,Bukarest,O-IEC 4000F,O,A2000021,Berlin,Berlin,Deutschland,Israel,817,S-0817-0001-C-O-3678-01-A-FCA-N,AH036468/367801/0817,1000761876
2025-07,Bukarest,O-GezHagitNew,O,A2000021,Berlin,Berlin,Deutschland,Israel,6128,T-6128-0003-C-O-2666-01-Um_MZ-FEL-,AH036462/266601/6128,1000845685
2025-07,Bukarest,O-GezHagitNew,O,A2000021,Berlin,Berlin,Deutschland,Israel,6128,T-6128-0002-C-O-2666-01-Um_MZ-FEL-,AH036462/266601/6128,1000845837
2025-07,Bukarest,O-GezHagitNew,O,A2000021,Berlin,Berlin,Deutschland,Israel,6128,T-6128-0004-C-O-2666-01-Um_MZ-FEL-,AH036462/266601/6128,1000845410
2025-07,Bukarest,O-GezHagitNew,O,A2000021,Berlin,Berlin,Deutschland,Israel,6128,T-6128-0007-C-O-2666-01-Um_MZ-FEL-,AH036462/266601/6128,1000847858
2025-07,Bukarest,O-GezHagitNew,O,A2000021,Berlin,Berlin,Deutschland,Israel,6127,T-6127-0001-C-O-2666-01-Um_MZ-FEL-,AH036462/266601/6127,1000851184
2025-07,Bukarest,O-GezHagitNew,O,A2000021,Berlin,Berlin,Deutschland,Israel,6128,T-6128-0006-C-O-2666-01-Um_MZ-FEL-,AH036462/266601/6128,1000851381
2025-07,Bukarest,O-GezHagitNew,O,A2000021,Berlin,Berlin,Deutschland,Israel,6128,T-6128-0001-C-O-2666-01-Um_MZ-FEL-,AH036462/266601/6128,1000859519
2025-09,Bukarest,RME-SABIYA3,O,A2000021,Berlin,Berlin,Deutschland,Kuwait,142,A-0142-0001-C-O-2785-01-A-N,AH036479/278501/0142,1000886849
2025-09,Bukarest,RME-SABIYA3,O,A2000021,Berlin,Berlin,Deutschland,Kuwait,147,A-0147-0001-C-O-2785-01-A-N,AH036479/278501/0147,1000887567
2025-09,Bukarest,RME-SABIYA3,O,A2000021,Berlin,Berlin,Deutschland,Kuwait,147,A-0147-0002-C-O-2785-01-A-N,AH036479/278501/0147,1000886847
2025-09,Bukarest,Eumseong,W,A2000021,Erlangen,Berlin,Deutschland,Republik Korea (Südkorea),2034,A-2034-0001-A-10-3510-4883483Q-N,AH036258/304901/2034,1000890103
2025-09,Bukarest,RME-SABIYA3,O,A2000021,Berlin,Berlin,Deutschland,Kuwait,147,A-0147-0004-C-O-2785-01-A-N,AH036479/278501/0147,1000888806
2025-09,Bukarest,O-Shu S1 Ext,O,A2000021,Berlin,Berlin,Deutschland,Vereinigte Arabische Emirate,735,A-0735-0001-C-O-2112-01-A-N,AH036468/211201/0735,1000907072
2025-09,Bukarest,Qurayyah,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,3,S-0003-0001-A-11-3510-4883483Q-N,E7700922/952500/0003,1000945089
